Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem
10,3,15.6,56,4,67,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.0,1,3,3
7,2,11.6,36,2,41,1.17,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.6,1,2,3
10,1,15.6,77,8,79,2.4,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.5,1,3,0
4,5,15.6,72,8,2,2.23,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.6,1,0,3
4,0,13.3,74,8,53,1.6,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
4,3,15.6,74,4,47,2.18,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,1
0,0,14.0,105,8,52,1.2,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.3,1,2,3
7,4,15.6,97,8,53,1.84,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3
4,1,15.6,77,8,75,2.56,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,3
0,3,14.0,36,2,41,1.68,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.6,1,2,0
7,1,17.3,102,8,75,3.35,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3
2,3,15.6,74,4,53,2.0,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,1
10,1,15.6,92,8,87,3.31,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.6,1,3,3
0,2,11.6,32,2,40,1.3,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,32.0,1.5,1,2,0
4,3,15.6,78,8,53,1.9,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3
10,4,14.0,74,8,53,1.13,1,1,0,0,1920,1080,0,0,1,256.0,0.0,0.0,0.0,2.5,1,2,3
4,0,13.3,83,8,61,1.55,1,0,1,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.6,1,2,3
4,4,13.3,106,8,61,1.21,0,1,1,0,3840,2160,0,1,0,0.0,0.0,0.0,256.0,1.8,1,2,3
7,1,15.6,102,8,75,2.2,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3
15,0,12.3,117,4,38,1.15,0,1,1,0,2400,1600,0,0,1,32.0,0.0,0.0,0.0,2.0,2,1,0
4,3,15.6,83,8,7,2.2,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,1.6,1,0,3
4,3,15.6,74,8,53,1.95,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,128.0,2.5,1,2,3
4,3,15.6,97,8,72,2.18,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
11,1,15.6,97,8,75,2.2,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,3
10,3,15.6,74,6,66,2.4,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,3
7,3,17.3,106,8,70,2.5,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.8,1,3,3
10,3,14.0,77,8,55,1.7,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
10,1,15.6,102,16,79,3.2,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,512.0,2.8,1,3,3
0,3,11.6,112,4,42,1.4,0,0,0,0,1366,768,0,0,1,128.0,0.0,0.0,0.0,1.6,1,2,3
4,4,13.3,74,8,53,1.29,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
2,1,15.6,102,24,96,2.24,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.8,1,3,3
16,4,13.3,89,8,47,1.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
7,4,14.0,80,4,53,1.48,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
10,3,15.6,37,4,43,2.2,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,1.1,1,2,0
2,2,11.6,30,2,41,0.98,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.44,1,2,3
4,3,14.0,79,8,69,1.64,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,1
4,3,15.6,74,4,24,2.3,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,0,1
2,3,15.6,59,4,53,2.0,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3
10,3,15.6,60,4,53,2.05,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.7,1,2,3
2,3,17.3,113,4,66,2.8,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,1.1,1,3,3
0,3,15.6,106,8,98,3.0,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.8,1,3,3
0,3,15.6,32,4,40,2.2,1,1,0,0,1920,1080,0,0,1,16.0,0.0,0.0,0.0,1.5,1,2,0
10,1,15.6,77,8,75,2.4,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,0
4,3,13.3,68,8,47,1.62,1,0,1,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.3,1,2,3
2,1,17.3,102,16,75,2.9,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
10,3,15.6,97,8,66,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,3
2,3,15.6,74,8,53,2.37,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3
4,5,15.6,102,8,108,2.06,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,3
2,1,17.3,102,16,76,2.99,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
10,3,14.0,97,8,53,1.58,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
10,3,17.3,106,8,98,2.8,1,0,0,0,1920,1080,1,0,0,0.0,2.0,0.0,0.0,1.8,1,3,0
4,4,13.3,83,8,61,1.42,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3
7,3,15.6,68,4,47,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.3,1,2,0
16,4,14.0,91,8,47,1.47,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3
4,3,15.6,97,8,30,2.33,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,0,1
7,3,15.6,106,8,61,2.1,1,1,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,1.8,1,2,3
10,3,13.3,97,16,53,1.4,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3
10,3,17.3,74,6,84,2.8,0,0,0,0,1600,900,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,3
7,4,13.3,97,8,53,1.34,0,1,0,0,3200,1800,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
4,1,17.3,103,16,80,4.42,0,1,0,0,2560,1440,1,1,0,0.0,1.0,0.0,256.0,2.9,1,3,3
2,4,15.6,106,16,98,1.5,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,1.8,1,3,3
7,3,15.6,22,4,12,2.1,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,1.5,0,0,3
2,3,15.6,89,4,65,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.5,1,3,3
10,3,14.0,34,2,40,1.5,0,0,0,0,1366,768,0,0,1,64.0,0.0,0.0,0.0,1.6,1,2,3
10,3,17.3,83,8,98,2.8,0,0,0,0,1600,900,0,1,0,0.0,0.0,0.0,256.0,1.6,1,3,0
7,3,13.3,109,4,46,1.29,0,0,0,0,3200,1800,0,0,1,32.0,0.0,0.0,0.0,1.5,1,2,0
7,3,15.6,12,6,29,2.04,1,0,0,0,1920,1080,0,0,0,0.0,0.0,0.0,0.0,2.9,0,0,3
6,4,12.3,105,16,52,1.1,0,0,1,0,2400,1600,0,1,0,0.0,0.0,0.0,512.0,1.3,1,2,0
10,1,15.6,77,8,75,2.4,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.5,1,3,0
2,4,15.6,97,8,72,1.7,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
4,1,15.6,103,16,80,3.49,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.9,1,3,3
8,4,13.0,74,8,53,1.05,1,1,0,0,2160,1440,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
10,3,13.3,74,8,53,1.1,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
4,3,15.6,34,2,40,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3
10,3,15.6,97,6,72,2.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
10,3,14.0,78,8,53,1.32,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3
4,3,15.6,59,8,53,2.3,0,0,1,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3
7,3,15.6,68,4,47,1.88,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.3,1,2,3
10,0,14.0,97,16,53,1.42,0,0,1,0,2560,1440,0,1,0,0.0,0.0,0.0,0.0,2.7,1,2,3
10,5,15.6,89,16,107,2.18,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.5,1,3,3
0,0,11.6,38,4,43,1.25,1,1,1,0,1920,1080,0,0,1,32.0,0.0,0.0,0.0,2.0,1,2,3
4,1,17.3,102,16,80,4.36,0,1,0,0,3840,2160,1,1,0,0.0,1.0,0.0,512.0,2.8,1,3,3
7,3,15.6,56,6,24,2.04,0,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.0,1,0,3
4,3,17.3,106,16,63,2.77,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.8,1,3,3
7,3,14.0,78,8,53,1.48,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3
7,0,13.3,83,8,61,1.26,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3
2,3,15.6,59,4,53,2.37,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3
1,4,12.0,43,8,46,0.92,0,1,0,1,2304,1440,0,0,1,256.0,0.0,0.0,0.0,1.1,1,2,2
0,4,14.0,106,8,61,1.6,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.8,1,2,3
2,1,17.3,92,8,89,3.52,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.6,1,3,3
4,3,15.6,74,8,53,2.06,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3
7,5,15.6,102,8,101,2.6,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,3
7,3,15.6,56,4,47,2.1,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.0,1,2,3
4,3,15.6,102,16,75,2.06,0,0,1,0,3840,2160,0,1,0,0.0,0.0,0.0,512.0,2.8,1,3,3
4,4,13.3,106,16,61,1.21,0,1,1,0,3840,2160,0,1,0,0.0,0.0,0.0,0.0,1.8,1,2,3
7,5,15.6,89,8,0,1.9,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,0,3
12,3,14.0,30,4,40,1.4,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,32.0,1.44,1,2,3
7,5,17.3,92,8,3,3.0,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.6,1,0,3
7,3,14.0,83,8,61,1.63,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.6,1,2,3
4,3,15.6,54,4,23,2.18,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.0,1,0,3
4,0,15.6,106,8,61,1.56,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.8,1,2,3
16,3,14.0,74,8,53,1.25,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
10,3,14.0,74,4,53,2.02,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.5,1,2,3
17,3,14.0,37,4,43,1.22,0,0,0,0,1920,1080,0,0,1,32.0,0.0,0.0,0.0,1.1,1,2,3
13,4,13.5,52,4,52,1.252,0,0,1,0,2256,1504,0,1,0,0.0,0.0,0.0,128.0,2.2,1,2,3
10,3,15.6,89,8,66,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.5,1,3,0
2,0,13.3,74,8,53,1.1,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
4,4,14.0,99,8,53,1.36,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,2,3
10,0,10.1,31,4,41,0.69,0,1,1,0,1920,1200,0,0,1,64.0,0.0,0.0,0.0,1.44,1,2,0
7,3,14.0,97,8,69,1.64,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
10,3,15.6,5,12,7,2.2,1,0,0,0,1920,1080,1,0,0,0.0,2.0,0.0,0.0,3.6,0,0,3
7,4,13.3,97,8,98,1.38,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
2,1,17.3,26,16,37,3.25,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,3.0,0,0,3
10,3,15.6,56,4,24,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.0,1,0,0
2,1,15.6,102,16,79,2.2,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3
4,3,15.6,54,4,47,2.18,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.0,1,2,1
10,3,14.0,97,8,31,1.5,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,0,0
7,3,13.3,59,4,53,1.49,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.4,1,2,3
0,1,15.6,77,8,75,2.4,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,1
13,4,13.5,74,8,53,1.252,0,0,1,0,2256,1504,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
10,5,15.6,99,16,107,2.5,0,1,0,0,3840,2160,0,1,0,0.0,0.0,0.0,0.0,2.8,1,3,3
10,0,15.6,68,4,47,2.1,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3
0,4,14.0,74,8,39,1.8,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
0,3,15.6,74,4,72,2.23,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,3
