Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem,Price
12,3,14.0,41,4,43,1.45,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,32.0,1.1,1,2,3,20725
10,3,17.3,94,16,99,2.4,0,1,0,0,3840,2160,0,1,0,0.0,0.0,0.0,512.0,2.7,1,3,3,158135
4,4,12.5,99,16,53,1.18,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,2,3,99047
7,3,15.6,74,4,6,1.86,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.5,1,0,3,32639
4,3,15.6,102,16,75,2.06,0,0,1,0,3840,2160,0,1,0,0.0,0.0,0.0,512.0,2.8,1,3,3,127712
4,3,15.6,59,4,53,2.18,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3,31254
0,3,15.6,14,4,17,2.1,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,3.0,0,0,3,21312
10,3,13.3,33,4,45,1.45,0,0,0,0,1366,768,0,0,1,16.0,0.0,0.0,0.0,1.6,1,2,0,24503
10,3,15.6,83,8,35,2.1,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,1.6,1,0,3,60978
2,1,17.3,103,16,82,3.6,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.9,1,3,3,159786
7,4,14.0,97,8,53,1.48,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3,111301
10,3,13.3,59,4,53,1.5,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.4,1,2,3,29250
2,3,14.0,20,2,12,1.65,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.5,0,0,3,10602
10,0,13.3,74,8,53,1.3,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3,55091
2,1,17.3,92,24,90,4.33,1,1,1,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.6,1,3,3,67612
