Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,Price,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem
Apple,Ultrabook,13.3,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,1.37,71378.6832,0,1,0,1,2560,1600,0,1,0,,,,128.0,2.3,Intel,Intel,macos
Apple,Ultrabook,13.3,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,1.34,47895.5232,0,0,0,0,1440,900,0,0,1,128.0,,,,1.8,Intel,Intel,macos
HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,1.86,30636.0,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.5,Intel,Intel,freedos/other
Apple,Ultrabook,15.4,Intel Core i7 2.7GHz,16,AMD Radeon Pro 455,1.83,135195.33599999998,0,1,0,1,2880,1800,0,1,0,,,,512.0,2.7,Intel,AMD,macos
Apple,Ultrabook,13.3,Intel Core i5 3.1GHz,8,Intel Iris Plus Graphics 650,1.37,96095.808,0,1,0,1,2560,1600,0,1,0,,,,256.0,3.1,Intel,Intel,macos
Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,2.1,21312.0,0,0,0,0,1366,768,1,0,0,,,500.0,,3.0,AMD,AMD,windows
Apple,Ultrabook,15.4,Intel Core i7 2.2GHz,16,Intel Iris Pro Graphics,2.04,114017.6016,0,1,0,1,2880,1800,0,0,1,256.0,,,,2.2,Intel,Intel,macos
Apple,Ultrabook,13.3,Intel Core i5 1.8GHz,8,Intel HD Graphics 6000,1.34,61735.536,0,0,0,0,1440,900,0,0,1,256.0,,,,1.8,Intel,Intel,macos
Asus,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce MX150,1.3,79653.59999999999,1,0,0,0,1920,1080,0,1,0,,,,512.0,1.8,Intel,Nvidia,windows
Acer,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.6,41025.6,1,1,0,0,1920,1080,0,1,0,,,,256.0,1.6,Intel,Intel,windows
HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,1.86,20986.992,0,0,0,0,1366,768,1,0,0,,,500.0,,2.5,Intel,Intel,freedos/other
HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,1.86,18381.0672,1,0,0,0,1920,1080,1,0,0,,,500.0,,2.0,Intel,Intel,freedos/other
Apple,Ultrabook,15.4,Intel Core i7 2.8GHz,16,AMD Radeon Pro 555,1.83,130001.6016,0,1,0,1,2880,1800,0,1,0,,,,256.0,2.8,Intel,AMD,macos
Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,2.2,26581.392,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.0,Intel,AMD,windows
Apple,Ultrabook,12.0,Intel Core M m3 1.2GHz,8,Intel HD Graphics 615,0.92,67260.672,0,1,0,1,2304,1440,0,1,0,,,,256.0,1.2,Intel,Intel,macos
Apple,Ultrabook,13.3,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,1.37,80908.344,0,1,0,1,2560,1600,0,1,0,,,,256.0,2.3,Intel,Intel,macos
Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,2.2,39693.6,1,0,0,0,1920,1080,0,1,0,,,,256.0,2.7,Intel,AMD,windows
Apple,Ultrabook,15.4,Intel Core i7 2.9GHz,16,AMD Radeon Pro 560,1.83,152274.24,0,1,0,1,2880,1800,0,1,0,,,,512.0,2.9,Intel,AMD,macos
Lenovo,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8,Nvidia GeForce 940MX,2.2,26586.72,1,0,0,0,1920,1080,1,0,0,,1.0,,,2.4,Intel,Nvidia,freedos/other
Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,1.22,52161.12,1,1,1,0,1920,1080,0,1,0,,,,128.0,1.6,Intel,Intel,windows
