Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,ppi,Cpu Brand,SSD,HDD,Gpu Brand,OS
Apple,Ultrabook,8,1.37,71379,0,1,226.98300468106115,Intel Core i5,128,0,Intel,Mac
Apple,Ultrabook,8,1.34,47896,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,30636,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,135195,0,1,220.53462386625827,Intel Core i7,512,0,AMD,Mac
Apple,Ultrabook,8,1.37,96096,0,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
Acer,Notebook,4,2.1,21312,0,0,100.45466986113651,AMD Processor,0,500,AMD,Windows
Apple,Ultrabook,16,2.04,114018,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,61736,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,79654,0,0,157.3505121487356,Intel Core i7,512,0,Nvidia,Windows
Acer,Ultrabook,8,1.6,41026,0,1,157.3505121487356,Intel Core i5,256,0,Intel,Windows
HP,Notebook,4,1.86,20987,0,0,100.45466986113651,Intel Core i5,0,500,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,18381,0,0,141.21199808219862,Intel Core i3,0,500,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,130002,0,1,220.53462386625827,Intel Core i7,256,0,AMD,Mac
Dell,Notebook,4,2.2,26581,0,0,141.21199808219862,Intel Core i3,256,0,AMD,Windows
Apple,Ultrabook,8,0.92,67261,0,1,226.41554716935852,Other Intel Processor,256,0,Intel,Mac
Apple,Ultrabook,8,1.37,80908,0,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
Dell,Notebook,8,2.2,39694,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
Apple,Ultrabook,16,1.83,152274,0,1,220.53462386625827,Intel Core i7,512,0,AMD,Mac
Lenovo,Notebook,8,2.2,26587,0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Others/No OS/Linux
